Pos	Jugador	Club	Puntos	Categoría	id_fetemba
215	Falicoff, Iván	Fulgor Villa Crespo	1907	1	51
216	Pareja Carrasco, Juan David	Padilla	1907	1	3838
217	Huergo, Maximiliano Román	Nichia Gakuin	1903	1	1886
218	Perez, Candela	Peretz	1901	1	793
219	Polo Canesin, Nicolas	CTDM Nizetich	1900	1	3467
220	Sassone, Marco	Alvear Club	1898	1	3230
221	Wainsztok, Darío	Arg Takkyu	1896	1	17
222	Pereyra, Hugo	Nichia Gakuin	1895	1	1745
223	Jang, Agustín	Ferrocarril Oeste	1895	1	1751
224	Perez, Hernán	El Galpong	1893	1	277
225	Joszpe, Santiago	Ferrocarril Oeste	1890	1	2920
226	Ding, Divina	Ferrocarril Oeste	1887	1	2242
227	Aguilar, Cruz Elyana	CEDIMA	1887	1	2396
228	Olmos, Agustin	Inst.Atlet. Cultural	1885	1	2734
229	Marcial, Alma G.	Alvear Club	1885	1	3049
230	Marginet Campos, Alejandro	GTM	1876	1	782
231	Bellusci, Pablo	Fenix	1874	1	696
232	Fernandez Justo, Axel	UCA Marash Argentina	1873	1	609
233	Loiseau, Alain	El Galpong	1872	1	531
234	Mon, Hernán	Alvear Club	1869	1	38
235	Morsino, Nicolas	Tigre TDM	1869	1	2555
236	Huici, Julián	U.V.V.A.	1868	1	1340
237	Krowicki, Nahuel	Intendente Agüero	1867	1	889
238	Castro, Mauricio	Libre	1866	1	1212
239	Carranza, Mateo	GTM	1859	1	3394
240	Strehl, Matías	Libre	1854	1	1016
241	Albanese, Juan Manuel	River Plate	1851	1	2692
242	Roitman, Oscar	Nichia Gakuin	1848	1	1770
243	Perez, Camila D.	Fenix	1848	1	2931
244	Lopez Sanchez, Francisco Jose	CEDIMA	1841	1	2065
245	Beloqui, Ramón	River Plate	1840	1	156
246	Sarso, Luciano	San Lorenzo	1833	1	1237
247	Carattoli, Matias J.	Ateneo de Versailles	1833	1	2779
248	Ponieman, Félix	River Plate	1831	1	836
249	Valdez, Eduardo	Alvear Club	1830	1	44
250	Rondon, Elis	Padilla	1830	1	3036
251	Maggi, Sebastian	Ferrocarril Oeste	1830	1	4461
252	Samaja, Facundo	River Plate	1830	1	1895
253	Arroyo, Hernán	TMR	1829	1	35
254	Salazar, Ramón	Estacion Ping Pong	1828	1	412
255	Alzate, Camilo	Libre	1828	1	535
256	Bellusci, Nicolás	Padilla	1827	1	611
257	Coria, Lautaro	Zenit	1827	1	1640
258	Rossi, Nicolás	Rioja	1826	1	86
259	Duran, Andrés	UBA Exactas	1824	1	1339
