fecha	valor
2023-09-01	5.26
2023-09-02	5.28
2023-09-03	5.29
2023-09-04	5.3
2023-09-05	5.31
2023-09-06	5.32
2023-09-07	5.33
2023-09-08	5.35
2023-09-09	5.36
2023-09-10	5.37
2023-09-11	5.38
2023-09-12	5.39
2023-09-13	5.4
2023-09-14	5.42
2023-09-15	5.43
2023-09-16	5.44
2023-09-17	5.45
2023-09-18	5.46
2023-09-19	5.48
2023-09-20	5.49
2023-09-21	5.5
2023-09-22	5.51
2023-09-23	5.53
2023-09-24	5.54
2023-09-25	5.55
2023-09-26	5.56
2023-09-27	5.57
2023-09-28	5.59
2023-09-29	5.6
2023-09-30	5.61
2023-10-01	5.62
2023-10-02	5.64
2023-10-03	5.65
2023-10-04	5.66
2023-10-05	5.67
2023-10-06	5.69
2023-10-07	5.7
2023-10-08	5.71
2023-10-09	5.72
2023-10-10	5.74
2023-10-11	5.75
2023-10-12	5.76
2023-10-13	5.78
2023-10-14	5.79
2023-10-15	5.8
2023-10-16	5.81
2023-10-17	5.83
2023-10-18	5.85
2023-10-19	5.86
2023-10-20	5.88
2023-10-21	5.9
2023-10-22	5.91
2023-10-23	5.93
2023-10-24	5.95
2023-10-25	5.96
2023-10-26	5.98
2023-10-27	6
2023-10-28	6.02
2023-10-29	6.03
2023-10-30	6.05
2023-10-31	6.07
2023-11-01	6.08
2023-11-02	6.1
2023-11-03	6.12
2023-11-04	6.14
2023-11-05	6.15
2023-11-06	6.17
2023-11-07	6.19
2023-11-08	6.2
2023-11-09	6.22
2023-11-10	6.24
2023-11-11	6.26
2023-11-12	6.28
2023-11-13	6.29
2023-11-14	6.31
2023-11-15	6.33
2023-11-16	6.35
2023-11-17	6.37
2023-11-18	6.39
2023-11-19	6.41
2023-11-20	6.44
2023-11-21	6.46
2023-11-22	6.48
2023-11-23	6.5
2023-11-24	6.53
2023-11-25	6.55
2023-11-26	6.57
2023-11-27	6.6
2023-11-28	6.62
2023-11-29	6.64
2023-11-30	6.67
2023-12-01	6.69
2023-12-02	6.71
2023-12-03	6.74
2023-12-04	6.76
2023-12-05	6.78
2023-12-06	6.81
2023-12-07	6.83
2023-12-08	6.86
2023-12-09	6.88
2023-12-10	6.9
2023-12-11	6.93
2023-12-12	6.95
2023-12-13	6.98
2023-12-14	7
