pos	jugador	club 	puntos	categoria
268	Silva, Alfredo	River Plate	1737	2
269	Paredes, Bryan	Libre	1735	2
270	Rodriguez, Cristian	Rioja	1732	2
271	Iwasa, Nicolás	Ferrocarril Oeste	1727	2
272	Quagliardi, Franco	Libre	1727	2
273	Navarro, Ian	CASA de Padua	1727	2
274	Brusco, Agustín	Libre	1725	2
275	Martinez, Victor	AsociacionYabrudense	1721	2
276	Moleda, Damián	Libre	1718	2
277	Asmu, Agustín	Ferrocarril Oeste	1718	2
278	Villarroel, Franco	Libre	1717	2
279	Puerta, Walter	Oeste TDM	1714	2
280	Lamazon, Gustavo Gabriel	CAVA	1714	2
281	Gonzalez, Paulina	Alvear Club	1713	2
282	Hurtado, Franco	San Lorenzo	1713	2
283	Guassardo, Paulo	Def. Santos Lugares	1711	2
284	San Millan, Federico	La Legión TDM	1711	2
285	Ferreyra, Luis Alberto	Fenix	1711	2
286	Bronstein, Facundo	River Plate	1711	2
287	Ibarra, Fernando	San Lorenzo	1708	2
288	Quintana, Lucas	Lourdes	1708	2
289	Maehama, Federico	Instituto Cia. Maria	1707	2
290	Chaible, René	Escuela Cangallo	1707	2
291	Yonamine, Matías	La Patriada	1704	2
292	Mastropietro, Juan	Libre	1704	2
293	Medina, Nicolas	CTDM Nizetich	1703	2
294	Nakandakare, Isao	Obras Sanitarias	1700	2
295	Bianchini, Nicolas	Banco Nacion	1698	2
296	Perez, Lucas	Fenix	1697	2
297	Fazio, Agustín	Libre	1693	2
298	Riback, Tobias	Macabi	1692	2
299	Kaniuka, Aleksy	CEDIMA	1691	2
300	Marcial, Alma G.	AsociacionYabrudense	1690	2
301	Quiroz, Arny Alberto	Social Club TDM	1689	2
302	Sassone, Marco	Tigre TDM	1689	2
303	Leybovich, Guillermo	Ferrocarril Oeste	1686	2
304	Oppezzo, Sebastián	River Plate	1685	2
305	Santos Lima, Roberto	La Legión TDM	1685	2
306	Lemos, Ulises	Fenix	1684	2
307	Satriani, Genaro	Ferrocarril Oeste	1682	2
308	Correas Espeche, Ezequiel	El Galpong	1680	2
309	Rosen, Franco	Top Minc	1680	2
310	Escobar, Carlos	Peñarol	1679	2
311	Candela, Martín	Fenix	1678	2
312	Lotito, Tomás	Sol Argentino	1678	2
313	Fragapane, Leonardo Nicolas	Nichia Gakuin	1678	2
314	Gorrostorrazo, Iván	Libre	1676	2
315	Fragapane, Isabella	Nichia Gakuin	1675	2
316	Müller, Daniel	La Legión TDM	1674	2
317	Frasson, Gabriel	Libertad	1674	2
318	Koatz, Pablo	Peretz	1671	2
319	Sosa, Mateo	Fenix	1671	2
320	Beltran, Nicolás	Fulgor Villa Crespo	1667	2
321	Smodlaka, Guido I.	Alvear Club	1667	2
322	Bernasconi, Felipe	Fenix	1664	2
323	Gestido, Martín	Libre	1663	2
324	Sanchez, Javier	Libre	1662	2
325	Sierra, Agustín	Libre	1662	2
326	Ortiz, Carlos N.	Libertad	1661	2
327	Nemoto, Guillermo	River Plate	1659	2
