Pos	Jugador	Club	Puntos	Categoría
3247	Branciforte, Marcelo               	U.V.V.A.                      	605	7
3248	Coden, Hilario                     	Studio Ping Pong              	604	7
3249	Gonzalez, Alejandro                	Circulo Campano               	604	7
3250	Soto, Martina                      	Gimnasty                      	604	7
3251	Vento Cunha, Eligio G.             	CEDIMA                        	603	7
3252	Lopez Torres, Axel                 	River Plate                   	603	7
3253	Malizia, Fernando M.               	Torre Tanque TDM              	603	7
3254	Mesiti, Mateo                      	Jorge Newbery TDM             	603	7
3255	Zolezzi, Aldo F                    	CAVA                          	603	7
3256	Romero, Enzo                       	CEDIMA                        	602	7
3257	Ugas Marin, Adrian J.              	Fenix                         	602	7
3258	Santostefano, Juan Jose            	Libre                         	602	7
3259	Tirri, Javier                      	River Plate                   	601	7
3260	Ortiz, Franco                      	CEDIMA                        	601	7
3261	Maciel, Ruben Mariano              	CEDIMA                        	601	7
3262	Casteras, Leonardo                 	CTDM Nizetich                 	601	7
3263	Paredes, Milcar                    	San Lorenzo                   	601	7
3264	Carrillo, Alejandro                	Atlanta                       	601	7
3265	Monczer, Jorge D.                  	Nikkei TDM                    	601	7
3266	Carmona, Pablo                     	Spin TDM                      	601	7
3267	De Palma, Guadalupe                	Peñarol                       	600	7
3268	Torrisi, Federico                  	Libre                         	600	7
3269	Medina, Pablo Oscar                	Adrogue Sith Spin             	600	7
3270	Jang, Rodrigo                      	Libre                         	600	7
3271	Ibarra, Darío                      	Inst.Atlet. Cultural          	600	7
3272	Morales, Jorge                     	Libre                         	600	7
3273	Nuñez, Lautaro                     	Libre                         	600	7
3274	Foltino, Aldo                      	Libre                         	600	7
3275	Alegre, Rocio                      	Zenit                         	600	7
3276	Alfonsi, Lucas                     	Zenit                         	600	7
3277	Lagraña, Jeremias                  	Zenit                         	600	7
3278	Otero, Tomas                       	Rioja                         	600	7
3279	Azuaga, Oscar                      	Social Club TDM               	600	7
3280	Chinen, Claudia N.                 	Estacion Ping Pong            	600	7
3281	Fernandez, Daniel E.               	San Lorenzo                   	600	7
3282	Vilar, Federico                    	Arg Takkyu                    	600	7
3283	Soler, Claudio                     	Jorge Newbery TDM             	600	7
3284	Gomez, Matias                      	Bersie TDM                    	600	7
3285	Ruau, Sergio                       	Libertad                      	600	7
3286	Cia, Claudio                       	Bar Ping Pong NTE             	600	7
3287	Caneda, TOmas                      	Oeste TDM                     	600	7
3288	Pesado, Roman                      	Lourdes                       	600	7
3289	Gabella, Fernando L.               	CASA de Padua                 	600	7
3290	Funes, Lucas                       	La Legión TDM                 	600	7
3291	Genoud Villafañe, Andres           	Banco Nacion                  	600	7
3292	Escalante, Joaquin                 	CASA de Padua                 	600	7
3293	Pedreira, Gustavo D.               	Club 4F                       	600	7
3294	Vidal, Facundo G.                  	La Legión TDM                 	600	7
3295	Verna, Adolfo                      	Asoc. Jap. Burzaco            	600	7
3296	Didio, Julian                      	Inst.Atlet. Cultural          	600	7
3297	Rocha, Sergio                      	Oeste TDM                     	600	7
3298	Miranda, Gonzalo                   	Studio Ping Pong              	600	7
3299	Lucero, Ricardo                    	U.V.V.A.                      	600	7
3300	Flores, Joaquin                    	Peñarol                       	600	7
3301	Cattani, Claudio                   	Tigre TDM                     	600	7
3302	Martinez, Marcelo M.               	Club Italiano JCPaz           	600	7
3303	Capria, Francis                    	GTM                           	600	7
3304	Calvo, Julio                       	Nikkei TDM                    	600	7
3305	Cheja, Luciano                     	Astros Tenis de Mesa          	600	7
3306	Bujia, Juan Pablo                  	Padilla                       	600	7
3307	Tu, Jazmin C.                      	Nichia Gakuin                 	600	7
3308	Esposito, Enzo Javier              	Studio Ping Pong              	600	7
3309	Gerez, Marcelo                     	Club Italiano JCPaz           	599	7
3310	Pejnovic, Emiliano                 	Libre                         	599	7
3311	Keizman, Graciela Rut              	Bar Ping Pong NTE             	599	7
3312	Garnis, Maria Lara                 	Esp.Cultural La 505           	599	7
3313	Contreras, Jean                    	Social Club TDM               	599	7
3314	Vergara, Sergio                    	Oeste TDM                     	598	7
3315	Gaisler, Agustin                   	Libre                         	598	7
3316	Castrovinci, Carina                	River Plate                   	598	7
3317	Roldan, Guillermo                  	Tigre TDM                     	598	7
3318	Cardenas, Felix                    	Esp.Cultural La 505           	598	7
3319	Guia Monzon, Ixchel                	Alvear Club                   	598	7
3320	Chalukian, Giselle                 	Spin TDM                      	597	7
3321	Ibañez, Martin                     	La Huella                     	597	7
3322	Pereira, Gonzalo                   	Libre                         	597	7
3323	Camarero, Ludmila                  	Ateneo de Versailles          	597	7
3324	Ferrara, Eduardo                   	Fulgor Villa Crespo           	597	7
3325	Stanovnik, Juan Ignacio            	Peretz                        	597	7
3326	Cabrera, Lina Fernanda             	Ateneo de Versailles          	596	7
3327	Garofalo, Damian                   	Padilla                       	596	7
3328	Baldiviezo, Lisandro               	ONG Volver a Jugar            	596	7
3329	Fernandez, Agustin                 	Libre                         	595	7
3330	Medina Barrios, Isaias             	Oeste TDM                     	595	7
3331	Dominguez, Luis A.                 	Inst.Atlet. Cultural          	595	7
3332	Martinez Rizzi, Martín             	Atlanta                       	594	7
3333	Miller, Milagros                   	Oeste TDM                     	594	7
3334	Korman, Leandro                    	Nikkei TDM                    	594	7
3335	Aponte, Chenee                     	La Legión TDM                 	594	7
3336	Pueyo, Matias A.                   	Social Club TDM               	594	7
3337	Verolin, Mariano                   	CTDM Nizetich                 	594	7
3338	Bounos, Ian Evangelos              	Atlanta                       	593	7
3339	Exposito, Marcos                   	Ferrocarril Oeste             	593	7
3340	Lenhart, Jorge R                   	Peñarol                       	593	7
3341	Vazquez, Carlos A.                 	Banco Nacion                  	593	7
3342	Saucedo, Pablo                     	Circulo Campano               	593	7
3343	Rabinowicz, Eliana                 	Macabi                        	592	7
3344	Muñoz, Lautaro                     	GTM                           	592	7
3345	Helmer, Marcelo                    	La Legión TDM                 	592	7
3346	Mastroberardino, Adrian            	Studio Ping Pong              	592	7
3347	Martinez, Dariel                   	Spin TDM                      	592	7
3348	Espil, Ana                         	La Legión TDM                 	591	7
3349	Gambaro, Ruben N                   	Ateneo de Versailles          	591	7
3350	Maleplate, Juan Pablo              	Fenix                         	591	7
3351	Matsuda, Axel                      	Nikkei TDM                    	591	7
3352	Otalvares, Ezequiel                	Boca Juniors                  	590	7
3353	Kaladjian, Cristian                	U.V.V.A.                      	590	7
3354	Polimeni, Diego                    	Ateneo de Versailles          	590	7
3355	Lasa, Tomas                        	Tigre TDM                     	590	7
3356	Caro, Miller                       	Arg Takkyu                    	590	7
