pos	jugador	club 	puntos	categoria
226	Dias, Juan Cruz	Alvear Club	884	5
227	Lin, Pablo	Social Club TDM	882	5
228	Pagano, Francisco	Alvear Club	877	5
229	Kalbermatter, Roberto	GTM	864	5
230	Reina, Marcos	La Legión TDM	863	5
231	Cassano, Luis	CTDM Nizetich	860	5
232	Bannert, Braian	Circulo Campano	859	5
233	Villarruel, Ary Javier	Bar Ping Pong NTE	857	5
234	Devesa, Gabriel F.	Alvear Club	852	5
235	Sosa, Ignacio J.	Tigre TDM	850	5
236	Mango, Felipe	Ferrocarril Oeste	841	5
237	Bottos, Lucas N.	Fenix	836	5
238	Notturno, Nicolas	TMR	836	5
239	Conci, Rodolfo H	Instituto Cia. Maria	835	5
240	Lassaque, Andrés	CAVA	833	5
241	Perlov, Lucas	Banco Nacion	833	5
242	Anzardi, Martin	Fulgor Villa Crespo	833	5
243	Milgram, Roni	Macabi	828	5
244	Villegas, Pablo	AsociacionYabrudense	826	5
245	Morales Centurion, Ma. Ayelen	River Plate	825	5
246	Dunayevich, Santiago	Fenix	822	5
247	Martinez, Carlos	Def. Santos Lugares	821	5
248	Hagenbuch, Danilo	Top Minc	821	5
249	Cordova, Héctor	Peñarol	817	5
250	Perez, Mauro	Libertad	815	5
251	Aguilar Solis, Francisco	Nikkei TDM	811	5
252	Sposato, Valentino	Fenix	811	5
253	Exposito, Damian A	Club Italiano JCPaz	804	5
254	Cerraburru, Tomás	La Legión TDM	798	5
255	Makaganow Lopez, Anatoly	Nichia Gakuin	798	5
256	Thisted, Marcos	La Legión TDM	797	5
257	Aliota, Matías	CEDIMA	795	5
258	Diaz, Fernando	Top Minc	789	5
259	Lopez, Rodrigo	La Legión TDM	785	5
260	Valdez, Juan Ignacio	Lourdes	785	5
261	Garayoa, Santiago	River Plate	782	6
262	Murua, Santiago	Nikkei TDM	782	6
263	Puig, Pedro	Spin TDM	781	6
264	Molina, Lucas E.	Asoc. Jap. Burzaco	780	6
265	Fiorda, Jonathan	La Legión TDM	778	6
266	Martinez, Alan	Lourdes	770	6
267	Cobanera, Franco	Intendente Agüero	768	6
268	Borgstrand, Ivo	La Legión TDM	766	6
269	Salaberry, Ariel A.	Asoc. Jap. Burzaco	766	6
270	Molina, Juan Martin	Fenix	764	6
271	Crovara, Alberto	Top Minc	764	6
272	Fernicola Castiñeira, Juan M.	Ateneo de Versailles	762	6
273	Di Toro, Giuliano	Peretz	762	6
274	Vera, Gabriel	Peretz	754	6
275	Aranda, Santiago	Spin TDM	754	6
276	Gonzalez, Juan Manuel	Lourdes	752	6
277	Arias, Joaquin	Alvear Club	748	6
278	Mendoza, Rodrigo	Alvear Club	742	6
279	Paz, Luciano	La Legión TDM	741	6
280	Peñate, Tomas N.	Tigre TDM	740	6
281	Condori, Lucas Ivan	Nichia Gakuin	734	6
282	Fradkin, Guido	River Plate	733	6
283	Martinez, Abril	CEDIMA	731	6
284	Artemisi, Santiago	Instituto Cia. Maria	729	6
285	Marcial, Luca Valentino	AsociacionYabrudense	727	6
286	Ballico, Jesus E.	Club Italiano JCPaz	721	6
287	Banegas, Francisco	Ferrocarril Oeste	717	6
288	Peral, Leandro	Top Minc	716	6
289	Piuma, Vanesa C.	Nichia Gakuin	713	6
290	Santostefano, Marcelo	Tigre TDM	712	6
291	Pais, Gonzalo	Tigre TDM	711	6
292	Chapuis, Maria Jacqueline	TMR	704	6
293	Rodriguez, Martin A	Club Italiano JCPaz	703	6
294	Di Pietrantonio, Cristian	La Legión TDM	702	6
295	Polo, Agustin	Fulgor Villa Crespo	692	6
296	Lima, Martin	Zenit	686	6
297	Riccio, Nicolas	La Legión TDM	686	6
298	Nupieri, Sofía	River Plate	684	6
299	Rojas, Augusto	Def. Santos Lugares	684	6
300	Gutierrez Algecira, Fernanda	Nikkei TDM	679	6
301	Monteforte, Nicolas A.	Lourdes	678	6
302	Martinez, Guillermo	Fenix	676	6
303	Grispo, Andres	Torre Tanque TDM	675	6
304	Sosa, Ivan Marcelo	Tigre TDM	671	6
305	Garrido, Ernesto	Alvear Club	669	6
306	Moreale Ernst, Martin	Ateneo de Versailles	668	6
307	Lacuadra, Mathias	Club Italiano JCPaz	665	6
308	Laurent, Lucas	Inst.Atlet. Cultural	665	6
309	Chang, David	Instituto Cia. Maria	664	6
310	Aguirre, Julio Ricardo	GTM	658	6
311	Della Valle, Fernando	Club Urquiza	657	7
312	Salvador, Cristian	Spin TDM	657	7
313	Gonzalez, Gustavo Martin	San Lorenzo	656	7
314	Blejman, Mariano	Fenix	655	7
315	Di Toro, Martin	Peretz	653	7
316	Ojeda, Jano	Peretz	651	7
317	Guerrero Garcia, Yasef D.	Inst.Atlet. Cultural	649	7
318	Quiceno, Guillermo	AsociacionYabrudense	648	7
319	Blufstein, Brian	Ateneo de Versailles	647	7
320	Tirri, Javier	River Plate	645	7
321	Miño, Angel	Tigre TDM	643	7
322	Trujillo Palacio, Samantah	Alvear Club	637	7
323	Marcovich, Andrés	Fenix	633	7
324	Soto, Gerardo	San Lorenzo	633	7
325	Vallejos, Javier	Nikkei TDM	627	7
326	Heredia, Edgardo	Tigre TDM	624	7
327	Czaban, Basilio	Zenit	623	7
328	Flores Varela, Juan Manuel	Asoc. Jap. Burzaco	622	7
329	Maldonado, Martin	La Legión TDM	620	7
330	Soria, Alejandro	Asoc. Jap. Burzaco	620	7
331	Folino, Sergio	Asoc. Jap. Burzaco	620	7
332	Albariño, Pablo	Alvear Club	619	7
333	Soto, Aldo H.	Gimnasty	617	7
334	Lopez Torres, Axel	River Plate	603	7
335	Maldonado, Romeo	Social Club TDM	602	7
336	Burstein, Tomas	Macabi	601	7
337	Nieva, Matias	TMR	599	7
338	Salaberry, Javier S.	Peretz	593	7
339	Sclar, Gabriel	Torre Tanque TDM	591	7
340	Barmak, Martin	Atlanta	590	7
341	Juri, Leandro	Fenix	583	7
