pos	id	jugador	club	puntos	categoria
3663	2348	Badui, Marcelo                     	Studio Ping Pong              	537	7
3664	3054	Belsito, Martin                    	CASA de Padua                 	537	7
3665	3541	Vasallo, Nicolas                   	Arg Takkyu                    	537	7
3666	3711	Sclar, Gabriel                     	Torre Tanque TDM              	537	7
3667	2042	Fernandez A., María del Carmen     	Ferrocarril Oeste             	536	7
3668	3986	Roverano, Manuel                   	La Legión TDM                 	536	7
3669	4256	Romero, Juan Manuel                	TMR                           	536	7
3670	2256	Provenza, Cesar J                  	La Legión TDM                 	535	7
3671	4517	Maier, Alejandro                   	U.V.V.A.                      	535	7
3672	3019	Filiponne, Pablo D.                	Ateneo de Versailles          	534	7
3673	4238	Ferreyra Albornoz, Maximo          	Zenit                         	534	7
3674	4545	Perez Gibert, Francisco            	Estacion Ping Pong            	534	7
3675	4529	Ernst, Erik                        	Spin TDM                      	534	7
3676	2129	Rosen, Gustavo                     	La Legión TDM                 	533	7
3677	3027	Tomasello, Juan S.                 	Def. Santos Lugares           	533	7
3678	3059	Barreto, Reynaldo                  	Def. Santos Lugares           	533	7
3679	3147	Heuchert, Iván                     	Fenix                         	533	7
3680	4527	Choclin, Anibal R.                 	Spin TDM                      	533	7
3681	4672	Coronel, Eduardo P.                	Intendente Agüero             	533	7
3682	3509	Rodriguez, Santiago                	Tigre TDM                     	532	7
3683	3928	Tosolini, Leonardo                 	Bersie TDM                    	532	7
3684	4499	Prado, Tomas E.                    	Social Club TDM               	532	7
3685	4502	Lapuchevsky, German                	Def. Santos Lugares           	532	7
3686	2418	Nishihigahara, Gustavo             	Def. Santos Lugares           	531	7
3687	2999	Troncoso, Alejandro                	Estacion Ping Pong            	531	7
3688	3004	Caamaño, Ignacio                   	Estacion Ping Pong            	531	7
3689	3266	Ross, Carlos                       	Oeste TDM                     	531	7
3690	3415	Feldman, Damian                    	Macabi                        	531	7
3691	3574	Teves, Cristian                    	Jorge Newbery TDM             	531	7
3692	2165	Pustelnik, Jose Luis               	Def. Santos Lugares           	530	7
3693	2774	Silva, Jorge E.                    	Ateneo de Versailles          	530	7
3694	224	Teubal, Julian                     	Nikkei TDM                    	530	7
3695	4289	Castagna, Lucas                    	Top Minc                      	530	7
3696	4748	Ercolano, Rodrigo                  	Peñarol                       	530	7
3697	2653	Cuello, Lorena                     	Lourdes                       	529	7
3698	3693	Del Roio, Agustin                  	Fenix                         	529	7
3699	3955	Vazon, Nahuel                      	River Plate                   	529	7
3700	2284	Hikari Biorci, Sebastian           	Nichia Gakuin                 	528	7
3701	2462	Soñora, Hernan                     	Libre                         	528	7
3702	4394	Iglesias, Martin                   	Fenix                         	528	7
3703	4327	Chang, Daniel                      	Comunidad China TdM           	528	7
3704	4687	Dalia, Pablo A.                    	Torre Tanque TDM              	528	7
3705	2511	Alguacil, Cristian                 	Libre                         	527	7
3706	2776	Paladino, Martin                   	Ateneo de Versailles          	527	7
3707	3005	Masedra, Alejandro                 	Estacion Ping Pong            	527	7
3708	3528	Fujioka, Laura                     	CASA de Padua                 	527	7
3709	4624	Livia, Mario A.                    	UBA Exactas                   	527	7
3710	2509	Kovasic, Diego                     	La Legión TDM                 	526	7
3711	3238	Anriquez, David                    	TMR                           	526	7
3712	404	Serrano, Gustavo                   	Ateneo de Versailles          	526	7
3713	4498	Peraza, Juan Sebastian             	Bar Ping Pong NTE             	526	7
3714	3102	Verona, Mariano                    	Ateneo de Versailles          	525	7
3715	3138	Briones, Federico                  	Fenix                         	525	7
3716	3163	Cabezas, Rodrigo                   	Intendente Agüero             	525	7
3717	3164	Tommasi ,Joaquin                   	Intendente Agüero             	525	7
3718	3171	Diaz, Gabriel                      	La Legión TDM                 	525	7
3719	3173	Dorado Garcia, Alan Yael           	La Legión TDM                 	525	7
3720	3234	Sequeira, Maximiliano              	TMR                           	525	7
3721	3241	Loiseau Buchele, Amarinda          	TMR                           	525	7
3722	3243	Gomez Kiss, Roman                  	Asoc. Yabrudense              	525	7
3723	3252	Erlich, Thiago                     	Libre                         	525	7
3724	3290	Caracciolo, Fernando (F)           	Rioja                         	525	7
3725	3826	Barrios, Diego A.                  	Club Italiano JCPaz           	525	7
3726	3916	Villegas, Gustavo                  	Tigre TDM                     	525	7
3727	1735	Carlos, Franco                     	Club Urquiza                  	524	7
3728	1737	De Rovere, Leandro                 	Club Urquiza                  	524	7
3729	1988	Siderio, Alejandro                 	Top Minc                      	524	7
3730	2116	Garcia, Juan Manuel                	Libre                         	524	7
3731	2185	Ditzel, Trinidad                   	Oeste TDM                     	524	7
3732	2251	Peralta, Sebastian                 	Fenix                         	524	7
3733	2253	Bale, Leandro                      	Fenix                         	524	7
3734	2287	Crisanti, Francesco                	Nichia Gakuin                 	524	7
3735	2288	Mac Dougall, Lautaro               	Nichia Gakuin                 	524	7
3736	2398	Gonzalez, Javier P                 	Nichia Gakuin                 	524	7
3737	2356	Dorfman, Damian                    	Libre                         	524	7
3738	2447	Ferrari, Alberto                   	Peretz                        	524	7
3739	2448	Maeto, Sinei                       	Peretz                        	524	7
3740	2450	Vizgarra, Gustavo                  	Peretz                        	524	7
3741	2451	Hernandez, Mariano                 	Peretz                        	524	7
3742	2452	Hernandez, Andres                  	Peretz                        	524	7
3743	2454	Vizgarra, Lucas                    	Peretz                        	524	7
3744	2455	Poncini, Claudio                   	Peretz                        	524	7
3745	2457	Baez, Veronica                     	Peretz                        	524	7
3746	2487	Villavicencio, Hernan              	Libre                         	524	7
3747	2488	Higa, Luisa                        	Libre                         	524	7
3748	2533	Freytes, Esteban                   	Libre                         	524	7
3749	2586	Caro Langwagen, Fabrizio           	Club Urquiza                  	524	7
3750	2652	Buquete, Lautaro                   	Top Minc                      	524	7
3751	2654	Gomez, Raul Ariel                  	Nichia Gakuin                 	524	7
3752	2732	Poli, Canela                       	Fenix                         	524	7
3753	2790	Markowickz Almao Sira, Edgardo     	Nichia Gakuin                 	524	7
3754	2799	Rama, Marcela                      	Top Minc                      	524	7
3755	2800	Sorroza, Gabriela                  	Top Minc                      	524	7
3756	2805	Guzmán Dorado, Jessica Briyitt     	Nichia Gakuin                 	524	7
3757	2808	Gil, Eva Mariana                   	Nichia Gakuin                 	524	7
3758	2851	Wu, Marcos                         	Nichia Gakuin                 	524	7
3759	2855	Wu, Luciana                        	Nichia Gakuin                 	524	7
3760	3204	Aufiero, Santiago                  	Padilla                       	524	7
3761	3947	Carapella, Lucas                   	Studio Ping Pong              	524	7
3762	4538	Godoy, Ernesto                     	Atlanta                       	524	7
3763	1875	Sztrum, José                       	La Legión TDM                 	523	7
3764	2461	Agostinelli, Marcos                	Libre                         	523	7
3765	2583	Tortella, Gabriel A.               	Fenix                         	523	7
3766	3045	Yakes Heredia, Emma                	Libre                         	523	7
3767	2254	Gonzalez Castro, Daniel            	Libre                         	522	7
3768	4217	Fernandez Sandoval, Victoria       	TMR                           	522	7
3769	2056	Deibe, Martin                      	CEDIMA                        	521	7
3770	2456	Okuyama, Matias                    	Peretz                        	521	7
3771	2517	Esposito, Sebastian                	Libre                         	521	7
3772	2895	Vilela, Damian                     	Torre Tanque TDM              	521	7
3773	3047	Yamamoto, Isao Dante               	CTDM Nizetich                 	521	7
3774	3699	Rolando, Juan                      	Libre                         	521	7
3775	3880	Perello, Mauricio                  	San Lorenzo                   	521	7
3776	4005	Folmer, Mateo                      	EP 9 Hurlingham               	521	7
3777	4085	Grynszpan, Mariano                 	Ferrocarril Oeste             	521	7
3778	4300	Morales, Sofia I.                  	Social Club TDM               	521	7
3779	4471	Lamanna, Lucio                     	Torre Tanque TDM              	521	7
3780	2057	Kuell, Nayla                       	Spin TDM                      	520	7
3781	2260	Valanci, Leticia                   	Spin TDM                      	520	7
3782	3757	Dell'Era, Maria Laura              	Club Urquiza                  	520	7
3783	3879	Mastromarino, Diego                	San Lorenzo                   	520	7
3784	2013	Fiol, Jaime                        	Atlanta                       	519	7
3785	2250	Sabater, Sebastian                 	Fenix                         	519	7
3786	2996	Coria, Walter O.                   	Estacion Ping Pong            	519	7
3787	4028	Seculini, Nicolas A.               	Adrogue Sith Spin             	519	7
3788	4536	Carrizo, Sergio                    	ONG Volver a Jugar            	519	7
3789	3124	Pipkin, Damian                     	Estacion Ping Pong            	518	7
3790	3523	Molina, Tomas                      	Fenix                         	518	7
3791	4515	Casazza, Pedro                     	TMR                           	518	7
3792	469	Schildknecht, Fernando             	Padilla                       	517	7
3793	1918	Yamaguchi, Patricia                	Peñarol                       	517	7
3794	2414	Pascual, Facundo                   	Padilla                       	517	7
3795	4157	Salpeter, Luana                    	Asoc. Yabrudense              	517	7
3796	4816	Settembrino, Damian E.             	CEDIMA                        	517	7
3797	2946	Umana, Federico                    	Nichia Gakuin                 	517	7
3798	2862	Graciano, Claudio                  	Peñarol                       	516	7
3799	4216	Medve, Fabrizio                    	TMR                           	516	7
3800	4408	Torres, Lautaro                    	Peretz                        	516	7
3801	2340	Tula, Lucas                        	Peñarol                       	515	7
3802	2438	Selmi, Leonardo                    	Club Urquiza                  	515	7
3803	2674	Garcia, Pablo Alejandro            	Adrogue Sith Spin             	515	7
3804	2753	Laperie Buchbinder, Raquel         	Macabi                        	515	7
3805	4164	Boada Sosa, Marco A.               	GTM                           	514	7
3806	216	Blanco, Daniel                     	Club Urquiza                  	513	7
3807	1717	Negreti, Héctor                    	U.V.V.A.                      	513	7
3808	2243	Palma, Mailen                      	Nikkei TDM                    	513	7
3809	2440	Tejero, Walter A                   	U.V.V.A.                      	513	7
3810	2483	Nesis, Manuel                      	Atlanta                       	513	7
3811	3014	Iglesias, Juan Jose                	CTDM Nizetich                 	513	7
3812	4283	Bechara, Julian                    	Padilla                       	513	7
3813	2346	Guillemete, Santiago               	Libre                         	512	7
3814	2515	Vargas, Bruno                      	Libre                         	512	7
3815	2825	Burlone, Patricio                  	Libre                         	512	7
3816	2925	Rugel, Jose Antonio                	River Plate                   	512	7
3817	3088	Coronio, Sergio S.                 	Adrogue Sith Spin             	512	7
3818	4037	Boero, Leonardo                    	Libre                         	512	7
3819	4660	Blas Lopez, Amadeo                 	Zenit                         	512	7
3820	2071	Bordenave, Carlos                  	Nikkei TDM                    	511	7
3821	2526	Perez, Hernan J.                   	U.V.V.A.                      	511	7
3822	3829	Faranca, Santiago                  	Social Club TDM               	511	7
3823	1718	Perez, Miguel                      	Libre                         	510	7
3824	1769	Zuriaga, Alejo                     	Peñarol                       	510	7
3825	2297	Miranda, Milagros                  	La Huella                     	510	7
3826	2291	Violante Gimenez, Franco           	Ferrocarril Oeste             	510	7
3827	2820	Marti, Bautista                    	Gimnasty                      	510	7
3828	2865	Ricchezza, Sergio                  	Peñarol                       	510	7
3829	2936	Taago Maehira, Tobias N.           	Nichia Gakuin                 	510	7
3830	4689	Arevalo Pardo, Edison F.           	Torre Tanque TDM              	510	7
3831	4646	Ubilla, Gabriel A.                 	Club Italiano JCPaz           	510	7
3832	2134	Galuzzi, Franco A                  	Ferrocarril Oeste             	509	7
3833	2474	Rogovsky, Liliana                  	Sociedad Hebraica             	509	7
3834	3086	Roldan, Nestor O.                  	Adrogue Sith Spin             	509	7
3835	2955	Modarelli, Gonzalo                 	Fulgor Villa Crespo           	509	7
3836	2864	Ricchezza, Brian                   	Peñarol                       	508	7
3837	3767	Rodriguez, Ivan                    	La Legión TDM                 	508	7
3838	3781	Garcia, Ezequiel                   	Torre Tanque TDM              	508	7
3839	3802	Kyung, Marcos A.                   	Ateneo de Versailles          	507	7
3840	4563	Gimenez Castillo, Bianca D.        	CASA de Padua                 	507	7
3841	4737	Babor, Ezequiel                    	Studio Ping Pong              	507	7
3842	3821	Montaño, Carlos                    	Spin TDM                      	507	7
3843	2499	Acuña, Nicolas                     	Peretz                        	506	7
3844	2854	Bellande, Monserrat                	Nichia Gakuin                 	506	7
3845	3845	Lopez, Santiago                    	U.V.V.A.                      	506	7
3846	2640	Silva, Maximiliano                 	San Lorenzo                   	505	7
3847	3307	Roccatagliata, Lautaro             	CEDIMA                        	505	7
3848	3888	Aranguren, Miguel                  	Spin TDM                      	505	7
3849	4741	Zamprano, Juan Pablo               	Social Club TDM               	505	7
3850	1708	Capurro, Juan                      	Libre                         	504	7
3851	2258	Burman, Ariel                      	La Legión TDM                 	504	7
3852	2502	Unterkircher, Alexandre            	La Legión TDM                 	504	7
3853	2627	Mendez, Nelson                     	CEDIMA                        	504	7
3854	3153	Mendoza, Franco                    	GTM                           	504	7
3855	3410	Blaustein, Sebastian               	Sociedad Hebraica             	504	7
3856	3841	Ter Meulen, Alejandro              	Bersie TDM                    	504	7
3857	3847	Lopez Lange, Lautaro               	U.V.V.A.                      	504	7
3858	261	Pasculli, Sergio N.                	Torre Tanque TDM              	504	7
3859	4655	Arstein Pueyo, Maximiliano         	Fulgor Villa Crespo           	504	7
3860	2752	Buchbinder, Carlos D.              	Macabi                        	503	7
3861	4120	Yu, Zhiyuan                        	Comunidad China TdM           	503	7
3862	2167	Raldolky, Rosa K.                  	Atlanta                       	502	7
3863	2547	Morales, Agustin                   	Fenix                         	502	7
3864	2700	Valentini, Valentino               	Circulo Campano               	502	7
3865	3540	Huertas Bustos, Lucia              	Asoc. Yabrudense              	502	7
3866	3960	Casamento, Norberto                	Club Italiano JCPaz           	502	7
3867	2626	Pegolo, Aylen                      	Libre                         	501	7
3868	2784	Paiz Belforte, Facundo             	Arg Takkyu                    	501	7
3869	3041	Saporiti, Augusto J.               	Club Urquiza                  	501	7
3870	3843	Lizzi, Ezequiel                    	U.V.V.A.                      	501	7
3871	3782	Millan, Ruben                      	Atlanta                       	501	7
3872	4104	Alzaibar, Catriel                  	CASA de Padua                 	501	7
3873	4233	Lamas, Mariano D.                  	San Lorenzo                   	501	7
3874	527	Ramirez, Edgardo                   	Libertad                      	500	7
3875	1667	Zetune, Leonel                     	Macabi                        	500	7
3876	1698	Diz, Jorge Alejandro               	Libre                         	500	7
3877	1712	Enriquez, Ricardo                  	Libre                         	500	7
3878	1715	Luna, Diego                        	Libre                         	500	7
3879	1722	Turnes, Guillermo                  	Libre                         	500	7
3880	1723	Reyes, Gabriel                     	Libre                         	500	7
3881	1727	Ramirez, Pablo                     	Libre                         	500	7
3882	1761	Kopuchian, Carolina                	Libre                         	500	7
3883	1853	Ustariz, Gustavo                   	Alvear Club                   	500	7
3884	1933	Galante, Javier                    	Ateneo de Versailles          	500	7
3885	1953	Estigarribia, Víctor               	Ateneo de Versailles          	500	7
3886	1955	Bertodato, Pablo Adrián            	Ateneo de Versailles          	500	7
3887	1956	Yoshida, Leslie                    	Atlanta                       	500	7
3888	1957	Gomel, Liora                       	Atlanta                       	500	7
3889	1961	Kuitca, Rony Ezequiel              	Atlanta                       	500	7
3890	1962	Reisenman, Marcos Daniel           	Atlanta                       	500	7
3891	1963	Reisenman, Brenda Cindy            	Atlanta                       	500	7
3892	1964	Raichijk, Daniel Lázaro            	Atlanta                       	500	7
3893	1966	Daicz, Laura                       	Atlanta                       	500	7
3894	1967	Horrisberger, Oscar                	Atlanta                       	500	7
3895	1968	Carro, Juan Carlos                 	Atlanta                       	500	7
3896	1972	Sacramento, Roberto Luis           	Atlanta                       	500	7
3897	1984	Ledesma, Julián                    	Libre                         	500	7
3898	1994	Martino, Mateo                     	La Legión TDM                 	500	7
3899	2073	Birembaum, Simon                   	Nikkei TDM                    	500	7
3900	2074	Birembaum, Felipe                  	Nikkei TDM                    	500	7
3901	2075	Ponce, Guillermo                   	Nikkei TDM                    	500	7
3902	2080	Ruggieri, Juan                     	Nikkei TDM                    	500	7
3903	2081	Arilla, Guido                      	Nikkei TDM                    	500	7
3904	2084	Socolovsky, Alexis                 	La Legión TDM                 	500	7
3905	2088	Sierra, Matias Juan                	Ateneo de Versailles          	500	7
3906	2090	Cerdeira, Hernan                   	Ateneo de Versailles          	500	7
3907	2093	Trufelman, Walter Javier           	Ateneo de Versailles          	500	7
3908	2098	Bonarrigo, Marcelo Leandro         	Ateneo de Versailles          	500	7
3909	2099	Portesani, Raul Marcos             	Ateneo de Versailles          	500	7
3910	2100	Karelitz, Ivan                     	Ateneo de Versailles          	500	7
3911	2101	Slucki, Alejo Daniel               	Atlanta                       	500	7
3912	2102	Lopez Molina, Diego Enrique        	Atlanta                       	500	7
3913	2103	Gonzalez, Flavio Patricio          	Atlanta                       	500	7
3914	2104	Mastroleo, Ignacio                 	Atlanta                       	500	7
3915	2105	Faivovich, Julian                  	Atlanta                       	500	7
3916	2106	Toscano, Mario Miguel              	Atlanta                       	500	7
3917	2109	Steiman, Heriberto Benjamin        	Atlanta                       	500	7
3918	2110	Dayan, Lucas                       	Atlanta                       	500	7
3919	2111	Gameroff, Santiago                 	Atlanta                       	500	7
3920	2112	Fefer, Sergio Alejandro            	Atlanta                       	500	7
3921	2113	Sesia, Omar Armando                	Atlanta                       	500	7
3922	2115	Merkier, Ioel                      	Atlanta                       	500	7
3923	2117	Constenla, Juan Carlos             	Ateneo de Versailles          	500	7
3924	2118	Campilongo, Nicolas                	Libre                         	500	7
3925	2124	Merlo, Gaston                      	La Legión TDM                 	500	7
3926	2125	Lusin, Emiliano                    	La Legión TDM                 	500	7
3927	2127	Aisenberg, Hernan                  	San Lorenzo                   	500	7
3928	2128	Salcedo, Elvis                     	La Legión TDM                 	500	7
3929	2130	Fernandez Costen, Javier           	La Legión TDM                 	500	7
3930	2138	Papadopulos, Kevin F               	Ateneo de Versailles          	500	7
3931	2139	Belter, Jose Luis                  	Ateneo de Versailles          	500	7
3932	2141	Calabrese, Damian                  	Atlanta                       	500	7
3933	2149	Zolldan, Pablo                     	CAVA                          	500	7
3934	2158	Peñate, Geronimo                   	Tigre TDM                     	500	7
3935	2159	Gonzalez, Facundo                  	Tigre TDM                     	500	7
3936	2160	Ledesma, Nicolas                   	Tigre TDM                     	500	7
3937	2161	Montes, Uriel                      	Tigre TDM                     	500	7
3938	2162	Vignolo, Lucio                     	Tigre TDM                     	500	7
3939	2163	Martinez, Alejandro                	Tigre TDM                     	500	7
3940	2170	Guardia, Juan                      	CEDIMA                        	500	7
3941	2172	Lucero, Leonel                     	CASA de Padua                 	500	7
3942	2174	Vega Castro, Jhonny                	CASA de Padua                 	500	7
3943	2182	Peyrano, Ezequiel                  	Oeste TDM                     	500	7
3944	2184	Benitez, Brian                     	Oeste TDM                     	500	7
3945	2188	Diaz, Cristian                     	Oeste TDM                     	500	7
3946	2197	Lamm, Esteban                      	Arg Takkyu                    	500	7
3947	2201	Lombardo, Mario                    	Libertad                      	500	7
3948	2241	Ding, Kevin                        	Libre                         	500	7
3949	2244	Ganbotti, Leonardo                 	Nikkei TDM                    	500	7
3950	2266	Fisher, Brian                      	GTM                           	500	7
3951	2268	Spadoni, Federico                  	GTM                           	500	7
3952	2271	Avendaño, Guillermo                	Ateneo de Versailles          	500	7
3953	2275	Ruiz, Aquiles N                    	Gimnasty                      	500	7
3954	2278	Fadel, Marcos                      	GTM                           	500	7
3955	2280	Latini, Carlos                     	Libre                         	500	7
3956	2283	Moreno, Simon                      	Nichia Gakuin                 	500	7
3957	2079	Murdocca, Nicolas A                	CAVA                          	500	7
3958	2316	Rodriguez, Carlos L                	Lourdes                       	500	7
3959	2337	Goldberg, Facundo                  	Macabi                        	500	7
3960	2390	Avendaño, Alexis U                 	Ateneo de Versailles          	500	7
3961	2393	Almanza, Jorge H                   	Ateneo de Versailles          	500	7
3962	2402	Vazquez, Florencia A.              	La Huella                     	500	7
3963	2403	Bolaño, Franco                     	La Huella                     	500	7
3964	2404	Rodriguez, Nicolas                 	La Huella                     	500	7
3965	2420	Fontenla, Andres E                 	Ateneo de Versailles          	500	7
3966	2329	Colman, Miguel Alberto             	Padilla                       	500	7
3967	2338	Esmerian, Ezequiel                 	Padilla                       	500	7
3968	2292	Monte, Sebastian A                 	Rioja                         	500	7
3969	2378	Suau, Miguel                       	Oeste TDM                     	500	7
3970	2426	Jara, Alexis                       	Oeste TDM                     	500	7
3971	2433	Silva, Facundo                     	Libre                         	500	7
3972	2435	Lerner, Ariel                      	Macabi                        	500	7
3973	2436	Levin, Valeria                     	Macabi                        	500	7
3974	2439	Dellisola, Lautaro                 	Zenit                         	500	7
3975	2453	Hernandez, Alexis                  	Peretz                        	500	7
3976	2466	Yañez, Nahuel                      	Libre                         	500	7
3977	2470	Elsztain, Alejandro                	Libre                         	500	7
3978	2471	Rubin, Fernando S                  	Libre                         	500	7
3979	2472	Czarny, Natalio                    	Libre                         	500	7
3980	2473	Kusneras, Silvina                  	Libre                         	500	7
3981	2481	Gyukits, Ignacio                   	Peñarol                       	500	7
3982	2493	Cabaña, Lucas                      	Libre                         	500	7
3983	2434	Jamilis, Netanel                   	Libre                         	500	7
3984	2477	Taddeo, Pablo                      	Libre                         	500	7
3985	2510	Palomeque, Mario                   	La Legión TDM                 	500	7
3986	2516	Acosta, Marcelo                    	Oeste TDM                     	500	7
3987	2601	Idiarte, Mirta N.                  	La Legión TDM                 	500	7
3988	2659	Cruz, Roberto                      	Zenit                         	500	7
3989	2661	Depino, Omar                       	Zenit                         	500	7
3990	2662	Halblaub, Braian                   	Zenit                         	500	7
3991	2669	Ruiz, Sergio                       	Zenit                         	500	7
3992	2703	Ghiazza, Andres                    	La Legión TDM                 	500	7
3993	2724	Paredes, Joaquin E.                	San Lorenzo                   	500	7
3994	2728	Jakiszczyk, Adrian R.              	Rioja                         	500	7
3995	2743	Agote Robertson, Ignacio           	Tigre TDM                     	500	7
3996	2746	Saire, Daniel R.                   	Atlanta                       	500	7
3997	2748	Lucuix, Joaquin                    	Atlanta                       	500	7
3998	2750	Wildau, Erika A.                   	Atlanta                       	500	7
3999	2755	Mollo, Martiniano                  	Atlanta                       	500	7
4000	2758	Catalano, Luciano F.               	Atlanta                       	500	7
4001	2759	Artus, Andrea N.                   	Atlanta                       	500	7
4002	2761	Teicher, Ariel                     	Atlanta                       	500	7
4003	2762	Vega Tabachnik, Caetano            	Atlanta                       	500	7
4004	2764	Seoane, Juan Carlos                	Ateneo de Versailles          	500	7
4005	2766	Gasparini, Miguel Angel            	Ateneo de Versailles          	500	7
4006	2770	Jamani, Moises D.                  	Ateneo de Versailles          	500	7
4007	2773	Spighich, Agustin T.               	Ateneo de Versailles          	500	7
4008	2777	Guerreiro, Lucas G.                	Ateneo de Versailles          	500	7
4009	2780	Matarrese, Franco                  	Ateneo de Versailles          	500	7
4010	2792	Lima, Sergio                       	Cedem nº 2                    	500	7
4011	2802	Basma, Candela                     	CEDIMA                        	500	7
4012	2824	Feser, Franco N.                   	Padilla                       	500	7
4013	2836	Lujan Gazia, Agustin               	Arg Takkyu                    	500	7
4014	2838	Cayetá, Daniela                    	La Huella                     	500	7
4015	2839	Echandi, Iara                      	La Huella                     	500	7
4016	2840	Lepez, Martina                     	La Huella                     	500	7
4017	2841	Rueda, Julieta                     	La Huella                     	500	7
4018	2842	Serrano, Abril                     	La Huella                     	500	7
4019	2843	Diaz, Abril                        	La Huella                     	500	7
4020	2844	Parodi, Damian                     	La Huella                     	500	7
4021	2845	Jimenez, Priscila                  	La Huella                     	500	7
4022	2846	Santa Cruz, Lujan                  	La Huella                     	500	7
4023	2847	Nakagama, Aline Yukie              	CTDM Nizetich                 	500	7
4024	2848	Celaya Llamosas, Camilo            	Libre                         	500	7
4025	2849	Rust, Fabrizio                     	Libre                         	500	7
4026	2850	Ibarra, Brenda                     	Libre                         	500	7
4027	2853	Wu, Olimpio                        	Nichia Gakuin                 	500	7
4028	2871	Ophir, Amitai A.                   	Atlanta                       	500	7
4029	2876	Joab, Ernesto                      	U.V.V.A.                      	500	7
4030	2890	Benenati, Lucas                    	Zenit                         	500	7
4031	2892	De Sancho, Diego                   	Zenit                         	500	7
4032	2894	Amarilla, Norberto J.              	Libre                         	500	7
4033	2901	Fraga, Valentino B.                	Top Minc                      	500	7
4034	2907	Basso, Santiago                    	Gimnasty                      	500	7
4035	3061	D'Annunzio, Valentino              	CTDM Nizetich                 	500	7
4036	3062	D'Annunzio, Alejo                  	CTDM Nizetich                 	500	7
4037	3066	Acuña, Hugo A.                     	Social Club TDM               	500	7
4038	3075	Equiza, Myriam                     	Def. Santos Lugares           	500	7
4039	3096	Castiglioni, Ariel                 	Ateneo de Versailles          	500	7
4040	3099	Zelazny, Federico                  	Ateneo de Versailles          	500	7
4041	3100	Banegaz ,Thiago                    	Ateneo de Versailles          	500	7
4042	3105	Telao Guerreros, Lucas             	Ateneo de Versailles          	500	7
4043	3106	Sancha, Alejandro                  	Ateneo de Versailles          	500	7
4044	3107	Weckesser, Diego                   	Ateneo de Versailles          	500	7
4045	3114	Argüelles, Álvaro Ricard           	Atlanta                       	500	7
4046	3117	Hochman, Gustavo                   	Atlanta                       	500	7
4047	3121	Suarez Battan, Juan                	Atlanta                       	500	7
4048	3140	Mon, Gonzalo                       	Fenix                         	500	7
4049	3154	Mansilla, Gaston                   	GTM                           	500	7
4050	3159	Dalessandro, Franco                	GTM                           	500	7
4051	3162	Larraburu, Sebastián               	Intendente Agüero             	500	7
4052	3165	Parodi, Leonardo                   	La Huella                     	500	7
4053	3194	Fernandez Bueno, Emilio            	Libre                         	500	7
4054	3212	Djemdjemian, Ariel                 	Peñarol                       	500	7
4055	3213	Grillo, Alejandro                  	Peñarol                       	500	7
4056	3214	Varela, Mariano                    	Peñarol                       	500	7
4057	3221	Boraso, Juan Pablo                 	Tigre TDM                     	500	7
4058	3227	Bortoni, Melanie                   	Tigre TDM                     	500	7
4059	3229	Andrada, Patricia Beat             	Tigre TDM                     	500	7
4060	3235	Fafian, Santino                    	TMR                           	500	7
4061	3242	Loiseau, Marcelo                   	TMR                           	500	7
4062	3263	Gonzalez, Daniel                   	Oeste TDM                     	500	7
4063	3282	Waldhuter, Gabriel                 	Estacion Ping Pong            	500	7
4064	3416	Davidovich, Hernan                 	Sociedad Hebraica             	500	7
4065	3420	Lochbaum, Federico                 	Libre                         	500	7
4066	3421	Riveros, Sabrina                   	Libre                         	500	7
4067	3422	Martinez, Julieta                  	Libre                         	500	7
4068	3424	Lamdam Ordas, Humberto             	Libre                         	500	7
4069	3425	Corra Nassar, Shadia               	Libre                         	500	7
4070	3426	Veron, Gonzalo                     	Def. Santos Lugares           	500	7
4071	3427	Heinze, Tomas                      	Def. Santos Lugares           	500	7
4072	3428	Machado Pacheco, Carla             	Def. Santos Lugares           	500	7
4073	3441	Bonini, Roman                      	CASA de Padua                 	500	7
4074	3446	Suarez Sosa, Diego                 	La Legión TDM                 	500	7
4075	3447	Perez, Mario A.                    	Lourdes                       	500	7
4076	3453	Palavecino, Ximena                 	Padilla                       	500	7
4077	3455	Lerer Squarzon, Juan Ignacio       	Torre Tanque TDM              	500	7
4078	3456	Cagnones, Leonel                   	Social Club TDM               	500	7
4079	3458	Pratone, Enzo                      	CASA de Padua                 	500	7
4080	3464	Harari Nahen, Betina               	Sociedad Hebraica             	500	7
4081	3465	Perlov, Mauricio                   	Sociedad Hebraica             	500	7
4082	3485	Mombru, Juan Pablo                 	Def. Santos Lugares           	500	7
4083	3486	Capone Walfisch, Thiago            	Estacion Ping Pong            	500	7
4084	3489	Gordon Stern, Mariela              	Social Club TDM               	500	7
4085	3492	Correa, Franco                     	Libre                         	500	7
4086	3493	Chanquia, Patricio                 	Padilla                       	500	7
4087	3498	Silva Formento, Lautaro            	Estacion Ping Pong            	500	7
4088	3499	Silva Formento, Franco             	Estacion Ping Pong            	500	7
4089	3504	Kalomiris, Lucas                   	Libre                         	500	7
4090	3507	Antunez, Franco                    	CASA de Padua                 	500	7
4091	3513	Siverino, Fernando                 	Club Urquiza                  	500	7
4092	3532	Burgaña, Juan Marcos               	Libre                         	500	7
4093	3533	Caputto, Gerardo O.                	Libre                         	500	7
4094	3534	Pauletic, Gustavo D.               	Libre                         	500	7
