pos	id	jugador	club 	puntos	categoria
169	3592	Ramos, Nicolas J.                  	Ateneo de Versailles          	1018	4
170	4295	Barrientos, Fausto                 	Ateneo de Versailles          	1016	4
171	3896	Maldonado, Romeo                   	Alvear Club                   	1015	4
172	2636	Gulloni, Fernando                  	Inst.Atlet. Cultural          	1013	4
173	4448	Uslenghi, Santiago                 	River Plate                   	1006	4
174	2869	Aguilar Solis, Francisco           	River Plate                   	1001	4
175	3919	Murakoshi, Nahuel                  	Asoc. Jap. Burzaco            	1001	4
176	2135	Von Eckstein, Juan Jose            	GTM                           	992	4
177	2647	Milgram, Roni                      	Macabi                        	992	4
178	3851	Molteno, Juan Andres               	Top Minc                      	983	4
179	3510	Villarruel, Ary Javier             	Spin TDM                      	981	4
180	3989	Izquierdo, Guillermo               	Macabi                        	975	4
181	3753	Rebelles, Gabriel                  	Fenix                         	974	4
182	1372	Cerraburu, Tomás                   	Rioja                         	972	4
183	3816	Crovara, Alberto                   	Top Minc                      	970	4
184	3322	Garayoa, Santiago                  	River Plate                   	964	4
185	1083	Molina, Lucas E.                   	Asoc. Jap. Burzaco            	963	4
186	67	Battaglini, Alejandro              	Alvear Club                   	962	4
187	3408	Saffar, Claudio                    	Inst.Atlet. Cultural          	948	4
188	3822	Ducau, Lucas                       	Fenix                         	941	4
189	3720	Berrojalbiz, Rodrigo               	Libertad                      	938	4
190	4092	Salusso, Alexia                    	TMR                           	936	4
191	3909	Monti, Federico                    	Tigre TDM                     	929	4
192	615	Martin, Nicolás                    	CASA de Padua                 	928	4
193	2719	Perez, Mauro                       	Libertad                      	926	4
194	3903	Rosental, Pablo Damian             	GTM                           	924	4
195	4102	Pamparas, Tiziano                  	Alvear Club                   	919	4
196	3440	Simon Hurtado, Diego C.            	Alvear Club                   	917	4
197	3846	Barreiro, Bernardo T.              	GTM                           	916	4
198	3195	Ruiz Travi, Joaquin                	Asoc. Yabrudense              	911	4
199	4072	Ojeda, Jano                        	Peretz                        	908	4
200	4263	Zylberglait, Brian                 	Atlanta                       	908	4
201	3123	Arias, Joaquin                     	Alvear Club                   	900	4
202	4453	Kozicki, Theo                      	River Plate                   	900	4
203	702	Aquino, Manuel                     	GTM                           	899	4
204	2857	Perez Mazzarello, Julia            	Nichia Gakuin                 	899	4
205	983	Bentancourt, Rubén                 	GTM                           	898	4
206	2881	Beker, Dylan                       	Atlanta                       	897	4
207	4081	Arbuco, Camilo                     	San Lorenzo                   	896	4
208	3949	Oliva, Federico                    	Rioja                         	893	4
209	3972	Folino, Sergio                     	Asoc. Jap. Burzaco            	890	4
210	3649	Lacuadra, Mathias                  	Club Italiano JCPaz           	888	4
211	4482	Friedlander, Brian                 	Nichia Gakuin                 	885	5
212	4661	Ryzhov, Alejandro                  	Bar Ping Pong NTE             	884	5
213	2856	Perez Mazzarello, Malena           	Nichia Gakuin                 	878	5
214	3659	Puig, Pedro                        	UCA Marash Argentina          	865	5
215	3860	Mera, Augusto                      	Fenix                         	865	5
216	4260	Barbosch, Roman                    	Atlanta                       	860	5
217	4662	Zhivnov, Dmitry                    	Bar Ping Pong NTE             	852	5
218	3925	Moreale Ernst, Martin              	Ateneo de Versailles          	846	5
219	2374	Thisted, Marcos                    	La Legión TDM                 	845	5
220	826	Bannert, Braian                    	Circulo Campano               	842	5
221	3701	Vallejos, Javier                   	Nikkei TDM                    	839	5
222	1583	Gonzalez, Juan Manuel              	Lourdes                       	838	5
223	3284	Banegas, Francisco                 	Ferrocarril Oeste             	836	5
224	3920	Salaberry, Ariel A.                	Asoc. Jap. Burzaco            	835	5
225	139	Loustric, Rolando                  	Boca Juniors                  	834	5
226	3174	Giannone, Hernan                   	Boca Juniors                  	834	5
227	3626	Vespoli, Guillermo                 	El Galpong                    	832	5
228	3996	Hurtado, Rocio                     	Boca Juniors                  	830	5
229	1374	Vera, Gabriel                      	Peretz                        	829	5
230	4367	Tsarev, Maxim                      	Bar Ping Pong NTE             	826	5
231	3341	Banegas, Ivan                      	Alvear Club                   	823	5
232	3837	Rubin Minetti, Dante               	Ateneo de Versailles          	815	5
233	3695	Trillini, Juan                     	Atlanta                       	809	5
234	68	Vazquez, Alejandro                 	River Plate                   	806	5
235	4108	Schultz, Joaquin                   	Tigre TDM                     	806	5
236	2003	Mendez, Maitena Nerea              	Ateneo de Versailles          	799	5
237	1603	Nupieri, Sofía                     	River Plate                   	798	5
238	3597	Soria, Alejandro                   	Asoc. Jap. Burzaco            	797	5
239	3593	Conci, Rodolfo H                   	Arg Takkyu                    	795	5
240	2052	Santostefano, Marcelo              	Tigre TDM                     	790	5
241	3470	Lopez, Rodrigo                     	Asoc. Yabrudense              	790	5
242	3599	Miño, Angel                        	Tigre TDM                     	789	5
243	3515	Falcon, Francisco                  	Tigre TDM                     	787	5
244	4060	Aguirre, Joaquin                   	Alvear Club                   	785	5
245	4213	Saloña Ugone, Nahuel               	La Legión TDM                 	784	5
246	3894	Rodriguez Montanari, Lucas         	Fenix                         	779	5
247	4018	Jamilis, Eliel Dan                 	Sociedad Hebraica             	779	5
248	3625	Reggiardo, Carolina                	Peretz                        	778	5
249	3553	Szwarc Winnik, Ezequiel            	Atlanta                       	777	5
250	4616	Caro Ruiz, Benjamin                	Top Minc                      	777	5
251	3050	Maldonado, Martin                  	La Legión TDM                 	776	5
252	3318	Aguirre, Julio Ricardo             	GTM                           	774	5
253	4129	Sarzynksi, Enzo                    	GTM                           	768	5
254	4402	Quiroga Montenegro, Luka           	CASA de Padua                 	766	5
255	4532	Gass, Julian                       	Bar Ping Pong NTE             	759	5
256	3907	Boada, Luis                        	GTM                           	757	5
257	2592	Diaz, Fernando                     	Top Minc                      	753	5
258	4288	Guia Monzon, Ixchel                	Alvear Club                   	752	5
259	3929	Flores Varela, Juan Manuel         	Asoc. Jap. Burzaco            	751	5
260	4765	Piris, Leandro                     	Country Banfield TDM          	751	5
261	4533	De Torres, Facundo                 	Bar Ping Pong NTE             	750	6
262	3323	Heredia, Edgardo                   	Tigre TDM                     	748	6
263	2953	PaolinI Barroeta, Jose Luis        	Ferrocarril Oeste             	745	6
264	3828	Ramirez, Lucas N.                  	Torre Tanque TDM              	743	6
265	3555	Albus, Francisco                   	Macabi                        	742	6
266	3595	Carrillo, Hernan H.                	Asoc. Jap. Burzaco            	741	6
267	4043	Kina, Hernan                       	Banco Nacion                  	737	6
268	4306	Sato, L. Ezequiel                  	Gimnasty                      	737	6
269	3001	Coronel Lancellotti, Santiago      	Boca Juniors                  	736	6
270	1633	Blasco, Claudio                    	La Legión TDM                 	735	6
271	1702	Larraura, Facundo                  	San Lorenzo                   	735	6
272	3653	Suarez, Franco E.                  	Club Italiano JCPaz           	734	6
273	4152	Garcia, Ezequiel H.                	Padilla                       	734	6
274	2267	Garrido, Ernesto                   	Alvear Club                   	732	6
275	3862	Miño, Alan J.                      	La Legión TDM                 	732	6
276	2537	Piuma, Vanesa C.                   	Nichia Gakuin                 	730	6
277	3812	Rojas, Augusto                     	Def. Santos Lugares           	728	6
278	3932	Salaberry, Javier S.               	Peretz                        	726	6
279	4318	Cuoco, Juan Pablo                  	Astros Tenis de Mesa          	726	6
280	1792	Toledo, Javier                     	Spin TDM                      	723	6
281	2760	Rodriguez Palencia, Carlos M.      	Ferrocarril Oeste             	721	6
282	3910	Massare, Dante                     	Fenix                         	719	6
283	2660	Czaban, Basilio                    	Zenit                         	718	6
284	2150	Lucci, Pablo G.                    	CAVA                          	717	6
285	3469	Soto, Gerardo                      	Macabi                        	716	6
286	3092	Capillas, Alejandro                	Banco Nacion                  	715	6
287	4551	Ledesma, Alejo                     	Tigre TDM                     	714	6
288	4022	Massare, Bruno                     	Fenix                         	712	6
289	1607	Peral, Leandro                     	Top Minc                      	710	6
